"","Y1","Y2","Y3","Y4","Y5","Y6","Y7","Y8","Y9","Y10","Y11","Y12","Y13","Y14","Y15","Y16","Y17","Y18","Y19","Y20","Y21","Y22","Y23","Y24","Y25","Y26","Y27","Y28","Y29","Y30","Y31","Y32","Y33","Y34","Y35","Y36","Y37","Y38","Y39","Y40","Y41","Y42","Y43","Y44","Y45","Y46","Y47","Y48","Y49","Y50","Y51","Y52","Y53","Y54","Y55","Y56","Y57","Y58","Y59","Y60","Y61","Y62","Y63","Y64","Y65","Y66","Y67","Y68","Y69","Y70","Y71","Y72","Y73","Y74","Y75","Y76","Y77","Y78","Y79","Y80","Y81","Y82","Y83","Y84","Y85","Y86","Y87","Y88","Y89","Y90","Y91","Y92","Y93","Y94","Y95","Y96","Y97","Y98","Y99","Y100","Y101","Y102","Y103","Y104","Y105","Y106","Y107","Y108","Y109","Y110","Y111","Y112","Y113","Y114","Y115","Y116","Y117","Y118","Y119","Y120","Y121","Y122","Y123","Y124","Y125","Y126","Y127","Y128","Y129","Y130","Y131","Y132","Y133","Y134","Y135","Y136","Y137","Y138","Y139","Y140","Y141","Y142","Y143","Y144","Y145","Y146","Y147","Y148","Y149","Y150","Y151","Y152","Y153","Y154","Y155","Y156","Y157","Y158","Y159","Y160","Y161","Y162","Y163","Y164","Y165","Y166","Y167","Y168","Y169","Y170","Y171","Y172","Y173","Y174","Y175","Y176","Y177","Y178","Y179","Y180","Y181","Y182","Y183","Y184","Y185","Y186","Y187","Y188","Y189","Y190","Y191","Y192","Y193","Y194","Y195","Y196","Y197","Y198","Y199","Y200","Y201","Y202","Y203","Y204","Y205","Y206","Y207","Y208","Y209","Y210","Y211","Y212","Y213","Y214","Y215","Y216","Y217","Y218","Y219","Y220","Y221","Y222","Y223","Y224","Y225","Y226","Y227","Y228","Y229","Y230","Y231","Y232","Y233","Y234","Y235","Y236","Y237","Y238","Y239","Y240","Y241","Y242","Y243","Y244","Y245","Y246","Y247","Y248","Y249","Y250","Y251","Y252","Y253","Y254","Y255","Y256","Y257","Y258","Y259","Y260"
"OTU1012",0,2,0,0,7,1,0,0,0,0,1,9,3,10,1,0,6,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,0,0,0,2,5,2,0,0,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,2,1,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,25,1,0,2,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,45,5,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,46,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"OTU1034",8,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,55,8,3,0,10,32,3,8,9,0,0,23,12,0,0,2,13,3,1,10,90,0,0,23,0,28,99,12,60,0,0,0,0,0,0,0,0,0,0,0,40,0,24,0,0,0,0,0,0,0,0,0,0,0,53,53,6,81,9,0,0,0,0,0,0,0,0,0,0,1,4,2,0,12,0,6,27,8,2,0,0,0,0,0,16,1,3,1,0,0,0,0,0,50,243,217,19,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,3,22,140,6,0,0,0,0,2,0,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,1,0,0,0,0,0,3,23,7,4,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,8,1,0,0,0,1,11,0,5,5,0,0,17,5,0,0,0,5,21,8,341,1,14,0,0,0,0,0,0,0,0,0,0
"OTU1050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,1,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,15,0,0,1,0,0,0,0,0,0,21,6,0,8,0,0,0,10,0,0,0,0,0,0,2,0,0,0,36,2,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,3,0,0,4,0,8,8,0,2,6,1,6,184,3,0,0,0,0,0,3,1,3,7,0,0,0,0,0,4,0,0,1,4,0,0,0,10,2,1,12,17,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,2,12,1,16,2
"OTU1058",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,4,3,0,0,1,3,0,3,1,0,0,6,1,0,0,0,0,0,1,2,3,1,9,0,0,0,0,0,0,0,0,0,0,5,1,0,2,2,0,6,5,0,1,4,2,0,2,2,5,0,1,7,4,1,3,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,3,4,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1065",3,2,15,4,10,0,0,0,0,0,3,2,4,0,10,2,5,5,0,0,0,0,0,0,6,7,0,0,0,2,0,0,0,0,0,7,0,0,0,1,0,6,0,1,0,4,0,4,0,3,0,3,14,5,0,0,0,0,3,3,0,1,4,1,7,0,4,0,6,0,6,0,0,0,9,0,1,0,2,0,0,0,0,0,0,0,7,4,0,3,0,4,0,29,1,0,0,0,0,0,0,0,0,0,0,0,3,5,2,1,16,0,0,0,0,3,13,11,2,8,0,0,0,0,0,0,0,0,0,0,3,2,6,0,0,0,0,0,0,1,1,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,3,3,0,0,2,1,2,2,11,0,0,0,0,0,7,8,1,4,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,8,15,104,1,12,0,7,0,0,0,0,0,0,0,0,3,0,10,0,1,5,14,9,0,6,5,0,0,7,232,16,0,0,0,1,2,1,0,6,12,34,0,42,24,1,0,0,0,2,2,0,0,9,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,43,2,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,41,29,3,131,1,15,5,0,1,16,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,21,0,0,2,4,0,4,4,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,1,0,0,1,0,0,0,0,3,4,0,0,0,1,0,0,5,1,2,11,0,9,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,3,1,0,14,12,1,0,1,0,0,5,0,8,1,0,1,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,5,3,3,6,12,0,3,0,1,0,0,0,13,0,3
"OTU1087",0,0,0,0,0,0,0,0,0,0,0,0,2,45,0,1,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,1,0,0,3,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,19,3,4,1,3,2,0,4,3,6,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,6,5,12,0,1,0,0,2,2,0,0,0,0,0,0,3,0,3,4,1,53,0,6,6,1,0,0,0,0,1,73,24,3,1,0,0,0,0,0,4,6,1,15,10,2,0,0,0,0,3,4,0,4,0,5,0,1,0,0,0,0,0,0,0,0,1,0,5,1,6,4,11,4,64,2,0,1,2,0,0,1,0,0,0,8,0,0,0,0,9,3,31,31,4,17,4,0,0,1,17,2,15,15,5,1,2,1,0,0,0,0,4,0,0,1,1,11,2,0,8,3,33,8,4,18,0,21,0,0,9,15,6,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6,1,9,1,3,0,0,0,0,0
"OTU117",0,0,0,1,0,0,0,0,0,0,4,0,7,1,5,0,0,10,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,3,0,0,0,4,5,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,4,0,4,1,4,0,1,0,0,0,16,0,0,0,0,0,0,0,2,0,6,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,6,19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"OTU1197",1,0,2,0,3,0,0,0,0,1,0,0,4,2,0,2,2,0,5,0,0,0,0,0,0,0,0,4,58,0,0,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,1,4,0,0,0,0,0,0,2,0,0,0,1,0,7,0,1,0,0,0,4,0,2,0,0,0,8,0,0,0,0,0,0,0,1,0,2,18,5,1,23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,1,3,0,0,0,0,2,0,0,2,0,0,0,3,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,5,2,0,4,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0
