,Bio1,Bio4,Bio5,Bio6,Bio7,Bio12,Bio13,Bio14,Bio15,AI
Y1,6.845833302,1352.679932,27.89999962,-20.20000076,48.09999847,611,170,5,105.5784988,0.4862
Y2,6.845833302,1352.679932,27.89999962,-20.20000076,48.09999847,611,170,5,105.5784988,0.4862
Y3,6.845833302,1352.679932,27.89999962,-20.20000076,48.09999847,611,170,5,105.5784988,0.4862
Y4,6.845833302,1352.679932,27.89999962,-20.20000076,48.09999847,611,170,5,105.5784988,0.4862
Y5,6.845833302,1352.679932,27.89999962,-20.20000076,48.09999847,611,170,5,105.5784988,0.4862
Y6,6.849999905,1353.137817,27.89999962,-19.89999962,47.79999924,573,165,4,108.6462326,0.4504
Y7,6.849999905,1353.137817,27.89999962,-19.89999962,47.79999924,573,165,4,108.6462326,0.4504
Y8,6.849999905,1353.137817,27.89999962,-19.89999962,47.79999924,573,165,4,108.6462326,0.4504
Y9,6.849999905,1353.137817,27.89999962,-19.89999962,47.79999924,573,165,4,108.6462326,0.4504
Y10,6.849999905,1353.137817,27.89999962,-19.89999962,47.79999924,573,165,4,108.6462326,0.4504
Y11,5.416666508,1376.630127,27.5,-21.60000038,49.09999847,651,179,6,105.0344543,0.563
Y12,5.416666508,1376.630127,27.5,-21.60000038,49.09999847,651,179,6,105.0344543,0.563
Y13,5.416666508,1376.630127,27.5,-21.60000038,49.09999847,651,179,6,105.0344543,0.563
Y14,5.416666508,1376.630127,27.5,-21.60000038,49.09999847,651,179,6,105.0344543,0.563
Y15,5.416666508,1376.630127,27.5,-21.60000038,49.09999847,651,179,6,105.0344543,0.563
Y16,4.612499714,1423.574463,26.5,-23.70000076,50.20000076,650,184,5,105.6597977,0.5859
Y17,4.620833397,1425.61377,26.5,-23.79999924,50.29999924,650,185,5,105.9815979,0.5871
Y18,4.620833397,1425.61377,26.5,-23.79999924,50.29999924,650,185,5,105.9815979,0.5871
Y19,4.612499714,1423.574463,26.5,-23.70000076,50.20000076,650,184,5,105.6597977,0.5859
Y20,4.620833397,1425.61377,26.5,-23.79999924,50.29999924,650,185,5,105.9815979,0.5871
Y21,5.220833302,1419.899902,27.89999962,-22.39999962,50.29999924,603,169,5,106.4382477,0.5256
Y22,5.220833302,1419.899902,27.89999962,-22.39999962,50.29999924,603,169,5,106.4382477,0.5256
Y23,5.220833302,1419.899902,27.89999962,-22.39999962,50.29999924,603,169,5,106.4382477,0.5256
Y24,5.220833302,1419.899902,27.89999962,-22.39999962,50.29999924,603,169,5,106.4382477,0.5256
