id,type
OTU1034,Fungi
OTU1058,Protists
OTU1430,Fungi
OTU161,Protists
OTU1636,Protists
OTU1050,Fungi
OTU1647,Metazoa
OTU1613,Fungi
OTU1660,Fungi
OTU1079,Protists
OTU1760,Protists
OTU184,Fungi
OTU1819,Fungi
OTU1874,Plants
OTU1551,Protists
OTU1886,Fungi
OTU1631,Protists
OTU2006,Protists
OTU1065,Fungi
OTU2192,Protists
OTU1012,Fungi
OTU2263,Protists
OTU1649,Fungi
OTU2289,Fungi
OTU1645,Fungi
OTU2292,Fungi
OTU2325,Fungi
OTU234,Fungi
OTU2341,Fungi
OTU2279,Fungi
OTU2342,Plants
OTU2377,Fungi
OTU2337,Plants
OTU2402,Plants
OTU2420,Fungi
OTU2434,Fungi
OTU1538,Protists
OTU2435,Plants
OTU2442,Fungi
OTU1966,Plants
OTU2543,Fungi
OTU1225,Protists
OTU2550,Fungi
OTU2180,Fungi
OTU2743,Fungi
OTU2745,Fungi
OTU2007,Fungi
OTU2754,Protists
OTU2758,Fungi
OTU2762,Fungi
OTU2515,Protists
OTU2365,Fungi
OTU2776,Fungi
OTU2790,Fungi
OTU2798,Fungi
OTU168,Fungi
OTU2800,Fungi
OTU2805,Fungi
OTU2807,Fungi
OTU1205,Fungi
OTU2828,Fungi
OTU2834,Fungi
OTU2859,Fungi
OTU2862,Fungi
OTU2867,Fungi
OTU2783,Fungi
OTU2876,Fungi
OTU2903,Fungi
OTU2974,Fungi
OTU2939,Fungi
OTU2976,Fungi
OTU3002,Fungi
OTU1808,Fungi
OTU3008,Fungi
OTU2366,Protists
OTU3017,Fungi
OTU3018,Protists
OTU3021,Fungi
OTU3022,Fungi
OTU173,Fungi
OTU3023,Fungi
OTU2998,Protists
OTU3024,Protists
OTU3025,Fungi
OTU3029,Fungi
OTU1606,Protists
OTU3030,Fungi
OTU3013,Protists
OTU3035,Fungi
OTU1655,Fungi
OTU3037,Fungi
OTU3042,Fungi
OTU3044,Fungi
OTU185,Fungi
OTU1600,Fungi
OTU3047,Fungi
OTU2931,Fungi
OTU3052,Fungi
OTU3001,Fungi
OTU3059,Fungi
OTU3060,Fungi
OTU3066,Fungi
OTU2918,Fungi
OTU1650,Protists
OTU3067,Fungi
OTU3069,Fungi
OTU188,Protists
OTU3070,Fungi
OTU1580,Fungi
OTU3071,Fungi
OTU3010,Fungi
OTU3074,Fungi
OTU2819,Fungi
OTU3084,Plants
OTU167,Fungi
OTU3087,Protists
OTU3088,Fungi
OTU3081,Fungi
OTU1624,Fungi
OTU3092,Fungi
OTU3000,Fungi
OTU3093,Fungi
OTU3064,Fungi
OTU3094,Fungi
OTU1615,Fungi
OTU3096,Fungi
OTU3105,Fungi
OTU3107,Fungi
OTU3110,Fungi
OTU3116,Fungi
OTU3120,Fungi
OTU3049,Fungi
OTU3121,Fungi
OTU3158,Fungi
OTU3103,Fungi
OTU3172,Plants
OTU3173,Fungi
OTU2917,Fungi
OTU3175,Fungi
OTU142,Fungi
OTU3176,Fungi
OTU1553,Plants
OTU3178,Protists
OTU3004,Fungi
OTU3183,Protists
OTU3184,Fungi
OTU2839,Fungi
OTU3073,Fungi
OTU320,Fungi
OTU3050,Fungi
OTU3226,Fungi
OTU3229,Protists
OTU3244,Fungi
OTU2014,Protists
OTU3245,Fungi
OTU3228,Fungi
OTU3246,Fungi
OTU3177,Fungi
OTU3249,Fungi
OTU3264,Fungi
OTU3267,Plants
OTU3271,Plants
OTU332,Fungi
OTU3257,Fungi
OTU3346,Plants
OTU3347,Fungi
OTU3057,Fungi
OTU2199,Fungi
OTU3352,Plants
OTU3355,Protists
OTU117,Protists
OTU3371,Protists
