,ndvi
Y1,0.587228571
Y2,0.587228571
Y3,0.587228571
Y4,0.587228571
Y5,0.587228571
Y6,0.568548571
Y7,0.568548571
Y8,0.568548571
Y9,0.568548571
Y10,0.568548571
Y11,0.645721429
Y12,0.59719381
Y13,0.59719381
Y14,0.59719381
Y15,0.59719381
Y16,0.588541905
Y17,0.601172381
Y18,0.601172381
Y19,0.588541905
Y20,0.601172381
Y21,0.575802381
Y22,0.575802381
Y23,0.575802381
Y24,0.575802381
Y25,0.575802381
Y26,0.557439524
Y27,0.557439524
Y28,0.605469524
Y29,0.605469524
Y30,0.557439524
Y31,0.611184286
Y32,0.611184286
Y33,0.611184286
Y34,0.611184286
Y35,0.611184286
Y36,0.575800952
Y37,0.575800952
Y38,0.575800952
Y39,0.575800952
Y40,0.575800952
Y41,0.593542857
Y42,0.593542857
Y43,0.604056667
Y44,0.604056667
Y45,0.604056667
Y46,0.616738571
Y47,0.616738571
Y48,0.616738571
Y49,0.616738571
Y50,0.616738571
Y51,0.605294762
Y52,0.61271619
Y53,0.605294762
Y54,0.605294762
Y55,0.605294762
Y56,0.597160476
Y57,0.56377619
Y58,0.597160476
Y59,0.597160476
Y60,0.597160476
Y61,0.587870952
Y62,0.601958571
Y63,0.601958571
Y64,0.587870952
Y65,0.587870952
Y66,0.563933333
Y67,0.563933333
Y68,0.610410476
Y69,0.610410476
Y70,0.563933333
Y71,0.605959524
Y72,0.605959524
Y73,0.617052857
Y74,0.617052857
Y75,0.617052857
Y76,0.62096
Y77,0.606680952
Y78,0.62096
Y79,0.611555714
Y80,0.62096
Y81,0.585615238
Y82,0.585615238
Y83,0.634079524
Y84,0.585615238
Y85,0.585615238
Y86,0.61163
Y87,0.61163
Y88,0.61163
Y89,0.61163
Y90,0.61163
Y91,0.622005714
Y92,0.622005714
Y93,0.614225714
Y94,0.622005714
Y95,0.614225714
Y96,0.598125714
Y97,0.598125714
Y98,0.598125714
Y99,0.598125714
Y100,0.598125714
Y101,0.57879381
Y102,0.57879381
Y103,0.57879381
Y104,0.57879381
Y105,0.57879381
Y106,0.607937619
Y107,0.601368095
Y108,0.62124381
Y109,0.601368095
Y110,0.62124381
Y111,0.600983333
Y112,0.600983333
Y113,0.600983333
Y114,0.600983333
Y115,0.600983333
Y116,0.621545238
Y117,0.621545238
Y118,0.621545238
Y119,0.621545238
Y120,0.621545238
Y121,0.650455714
Y122,0.650455714
Y123,0.650455714
Y124,0.650455714
Y125,0.650455714
Y126,0.582391429
Y127,0.582391429
Y128,0.570987619
Y129,0.582391429
Y130,0.582391429
Y131,0.57081619
Y132,0.600807619
Y133,0.600807619
Y134,0.57081619
Y135,0.57081619
Y136,0.602510952
Y137,0.602510952
Y138,0.602510952
Y139,0.602510952
Y140,0.602510952
Y141,0.605718571
Y142,0.605718571
Y143,0.605000952
Y144,0.605000952
Y145,0.605718571
Y146,0.603860952
Y147,0.603860952
Y148,0.603860952
Y149,0.603860952
Y150,0.603860952
Y151,0.603264762
Y152,0.606297143
Y153,0.606297143
Y154,0.606297143
Y155,0.603264762
Y156,0.564664762
Y157,0.571900952
Y158,0.571900952
Y159,0.571900952
Y160,0.571900952
Y161,0.709012381
Y162,0.709012381
Y163,0.709012381
Y164,0.709012381
Y165,0.709012381
Y166,0.65555381
Y167,0.65555381
Y168,0.65555381
Y169,0.626448571
Y170,0.65555381
Y171,0.579252857
Y172,0.580300952
Y173,0.579252857
Y174,0.589849048
Y175,0.579252857
Y176,0.605675714
Y177,0.61738
Y178,0.61738
Y179,0.61738
Y180,0.61738
Y181,0.59498381
Y182,0.59498381
Y183,0.582864762
Y184,0.582864762
Y185,0.59498381
Y186,0.568850952
Y187,0.568850952
Y188,0.568850952
Y189,0.568850952
Y190,0.568850952
Y191,0.58585
Y192,0.58549381
Y193,0.58549381
Y194,0.58585
Y195,0.58585
Y196,0.613934762
Y197,0.613934762
Y198,0.613934762
Y199,0.613934762
Y200,0.613934762
Y201,0.639285238
Y202,0.639285238
Y203,0.639285238
Y204,0.639285238
Y205,0.629595714
Y206,0.621478095
Y207,0.6045
Y208,0.6045
Y209,0.621478095
Y210,0.621478095
Y211,0.584137619
Y212,0.584137619
Y213,0.584137619
Y214,0.584137619
Y215,0.584137619
Y216,0.562044286
Y217,0.562044286
Y218,0.562044286
Y219,0.562044286
Y220,0.562044286
Y221,0.544475714
Y222,0.544475714
Y223,0.544475714
Y224,0.544475714
Y225,0.544475714
Y226,0.638945714
Y227,0.638945714
Y228,0.638945714
Y229,0.638945714
Y230,0.638945714
Y231,0.585451429
Y232,0.60177619
Y233,0.60177619
Y234,0.605177143
Y235,0.60177619
Y236,0.731462857
Y237,0.731462857
Y238,0.62747381
Y239,0.62747381
Y240,0.731462857
Y241,0.687629048
Y242,0.65633381
Y243,0.656112857
Y244,0.65633381
Y245,0.65633381
Y246,0.597837619
Y247,0.603627619
Y248,0.603627619
Y249,0.603627619
Y250,0.603627619
Y251,0.587848095
Y252,0.587848095
Y253,0.598224762
Y254,0.598224762
Y255,0.587848095
Y256,0.448286667
Y257,0.448286667
Y258,0.448286667
Y259,0.67918381
Y260,0.448286667
