,Kingdom,Phylum,Class,Order,Family,Genus,Group
OTU1012,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Fungi
OTU1034,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Echria,Fungi
OTU1050,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Fungi
OTU1058,Rhizaria,Cercozoa,NA,NA,NA,Phaeoacremonium,Protist
OTU1065,Fungi,Ascomycota,Leotiomycetes,Helotiales,Mollisiaceae,NA,Fungi
OTU1071,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chloridium,Fungi
OTU1079,Alveolata,Ciliophora,Oligohymenophorea,NA,NA,NA,Protist
OTU1087,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Poaceascoma,Fungi
OTU117,Rhizaria,Cercozoa,NA,Cercomonadida,Cercomonadidae,NA,Protist
OTU1197,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,Fungi
OTU1200,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,Fungi
OTU1205,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,Sarocladium,Fungi
OTU1225,Alveolata,Ciliophora,Spirotrichea,Sporadotrichida,Oxytrichidae,NA,Protist
OTU1262,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Ophiosphaerella,Fungi
OTU1266,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Microdochium,Fungi
OTU1271,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,Fungi
OTU1350,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Chaetomium,Protist
OTU142,Fungi,Ascomycota,Sordariomycetes,Boliniales,Junewangiaceae,Flammispora,Fungi
OTU1430,Heterolobosa,Lobosa,Heterolobosea,Schizopyrenida,Vahlkampfiidae,Sampaiozyma,Protist
OTU1446,Alveolata,Ciliophora,Oligohymenophorea,Philasterida,NA,Cephaliophora,Protist
OTU1476,Heterolobosa,Lobosa,Heterolobosea,Schizopyrenida,Vahlkampfiidae,Iodophanus,Protist
OTU1538,Stramenopila,Bacillariophyta,Bacillariophyceae,Bacillariales,NA,Parasola,Protist
OTU1551,Stramenopila,Ochrophyta,Chrysophyceae,Chromulinales,Chromulinaceae,NA,Protist
OTU1553,Viridiplantae,Bryophyta,Bryopsida,Bryales,Bryaceae,NA,Viridiplantae
OTU1580,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Albifimbria,Fungi
OTU1589,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,Cystobasidiaceae,Cystobasidium,Fungi
OTU1600,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriopsis,Fungi
OTU1601,Fungi,Ascomycota,Laboulbeniomycetes,NA,NA,NA,Fungi
OTU1602,Rhodoplantae,NA,NA,NA,NA,NA,Others
OTU1605,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Poaceascoma,Fungi
OTU1606,Alveolata,Ciliophora,Oligohymenophorea,Astomatida,NA,Poaceascoma,Protist
OTU161,Rhizaria,Cercozoa,Hyphochytriomycetes,Hyphochytriales,Hyphochytriaceae,Poaceascoma,Protist
OTU1613,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Caespitomonium,Fungi
OTU1615,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Caespitomonium,Fungi
OTU1616,Fungi,Chytridiomycota,NA,NA,NA,NA,Fungi
OTU1619,Alveolata,Ciliophora,Oligohymenophorea,NA,NA,NA,Protist
