OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1,Alveolata,Ciliophora,Spirotrichea,NA,NA,NA,NA
OTU10,Alveolata,Dinoflagellata,Dinophyceae,NA,NA,NA,NA
OTU100,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,NA
OTU1000,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlorococcaceae,Tetracystis,NA
OTU1003,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Psilocybe,NA
OTU1005,Metazoa,Tardigrada,Eutardigrada,NA,NA,NA,NA
OTU1006,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Pseudopediastrum,NA
OTU1007,Alveolata,Ciliophora,Litostomatea,Sporadotrichida,NA,NA,NA
OTU1008,Fungi,Rozellomycota,NA,NA,NA,NA,NA
OTU1009,Fungi,Chytridiomycota,Mesochytriomycetes,Gromochytriales,NA,NA,NA
OTU101,Alveolata,Ciliophora,Oligohymenophorea,Astomatida,NA,NA,NA
OTU1010,Fungi,Basidiobolomycota,Basidiobolomycetes,Basidiobolales,Basidiobolaceae,Basidiobolus,NA
OTU1011,Metazoa,Gastrotricha,NA,Chaetonotida,NA,NA,NA
OTU1012,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,NA
OTU1013,Fungi,Ascomycota,Pezizomycetes,Pezizales,NA,NA,NA
OTU1014,Metazoa,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
OTU1015,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Pseudopediastrum,NA
OTU1016,Metazoa,Gastrotricha,NA,Chaetonotida,NA,NA,NA
OTU1018,Fungi,NA,NA,NA,NA,NA,NA
OTU1019,Alveolata,Ciliophora,Litostomatea,Haptorida,NA,NA,NA
OTU1020,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Psilocybe,NA
OTU1021,Metazoa,Gastrotricha,NA,Chaetonotida,NA,NA,NA
OTU1022,Rhizaria,Haplosporidia,NA,NA,Plasmodiophoridae,NA,NA
OTU1023,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Rhizoctonia,NA
OTU1024,Metazoa,Arthropoda,Collembola,NA,NA,NA,NA
OTU1025,Fungi,Chytridiomycota,NA,NA,NA,NA,NA
OTU1026,Rhizaria,Cercozoa,Sarcomonadea,Glissomonadida,NA,NA,NA
OTU1028,Viridiplantae,Streptophyta,Angiospermae,Poales,Poaceae,Oryza,NA
OTU1029,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Rhizoctonia,NA
OTU103,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,NA
OTU1030,Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Sporocadaceae,Pestalotiopsis,NA
OTU1031,Fungi,Chytridiomycota,NA,NA,NA,NA,NA
OTU1033,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
