OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1,NA,NA,NA,NA,NA,NA,NA
OTU10,Alveolata,NA,NA,NA,NA,NA,NA
OTU100,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis_urticicola
OTU1000,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlorococcaceae,Tetracystis,NA
OTU1003,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,Clitopilus_prunulus
OTU1005,NA,NA,NA,NA,NA,NA,NA
OTU1006,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Pediastrum,NA
OTU1007,Alveolata,Ciliophora,Litostomatea,Haptorida,Spathidiidae,Arcuospathidium,NA
OTU1008,Fungi,Rozellomycota,NA,NA,NA,NA,NA
OTU1009,Fungi,NA,NA,NA,NA,NA,NA
OTU101,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1010,Fungi,Basidiobolomycota,Basidiobolomycetes,Basidiobolales,Basidiobolaceae,Basidiobolus,Basidiobolus_ranarum
OTU1011,Metazoa,Gastrotricha,Chaetonotida,NA,Chaetonotidae,Chaetonotus,NA
OTU1012,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,NA
OTU1013,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,NA,NA
OTU1014,Metazoa,Nematoda,Chromadorea,Rhabditida,Anguinidae,Ditylenchus,NA
OTU1015,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Pediastrum,NA
OTU1016,Metazoa,Gastrotricha,Chaetonotida,NA,Chaetonotidae,Chaetonotus,NA
OTU1018,Fungi,NA,NA,NA,NA,NA,NA
OTU1019,Alveolata,Ciliophora,Litostomatea,Haptorida,Spathidiidae,Semispathidium,NA
OTU1020,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,Clitopilus_prunulus
OTU1021,Metazoa,Gastrotricha,Chaetonotida,NA,Chaetonotidae,Chaetonotus,NA
OTU1022,Rhizaria,Endomyxa,Phytomyxea,Plasmodiophorida,Plasmodiophoridae,Polymyxa,NA
OTU1023,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Thanatephorus,NA
OTU1024,Metazoa,Arthropoda,Collembola,NA,Katiannidae,Sminthurinus,NA
OTU1025,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,NA,NA
OTU1026,NA,NA,NA,NA,NA,NA,NA
OTU1028,Viridiplantae,Anthophyta,Monocotyledonae,Poales,Poaceae,Digitaria,Digitaria_ischaemum
OTU1029,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Thanatephorus,NA
OTU103,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis_urticicola
OTU1030,Fungi,Ascomycota,Sordariomycetes,Sordariales,Schizotheciaceae,Pseudoechria,Pseudoechria_longicollis
OTU1031,Fungi,Basidiomycota,Tremellomycetes,NA,NA,NA,NA
OTU1033,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,NA,NA
OTU1034,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Arnium,NA
OTU1035,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Pervetustaceae,Pervetustus,NA
OTU1036,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,NA,NA,NA
OTU1037,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Dictyosporiaceae,NA,NA
OTU1038,NA,NA,NA,NA,NA,NA,NA
OTU1039,Fungi,Olpidiomycota,GS18,NA,NA,NA,NA
OTU104,Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidaceae,NA,NA
OTU1040,Fungi,Ascomycota,Sordariomycetes,Branch06,NA,NA,NA
OTU1041,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU1042,Alveolata,Ciliophora,Spirotrichea,Sporadotrichida,Oxytrichidae,NA,NA
OTU1043,Alveolata,Ciliophora,Litostomatea,Haptorida,Spathidiidae,Semispathidium,NA
OTU1045,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU1046,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Paraglomus_occultum
