OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1,NA,NA,NA,NA,NA,NA,NA
OTU10,NA,NA,NA,NA,NA,NA,NA
OTU100,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,NA
OTU1000,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlorococcaceae,Tetracystis,NA
OTU1003,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,Clitopilus_prunulus
OTU1005,NA,NA,NA,NA,NA,NA,NA
OTU1006,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Pediastrum,NA
OTU1007,NA,NA,NA,NA,NA,NA,NA
OTU1008,Fungi,Rozellomycota,NA,NA,NA,NA,NA
OTU1009,NA,NA,NA,NA,NA,NA,NA
OTU101,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1010,Fungi,Basidiobolomycota,Basidiobolomycetes,Basidiobolales,Basidiobolaceae,Basidiobolus,Basidiobolus_ranarum
OTU1011,Metazoa,Gastrotricha,Chaetonotida,NA,Chaetonotidae,Chaetonotus,NA
OTU1012,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,NA
OTU1013,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,NA,NA
OTU1014,Metazoa,Nematoda,Chromadorea,Rhabditida,Anguinidae,Ditylenchus,NA
OTU1015,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Pediastrum,NA
OTU1016,Metazoa,Gastrotricha,Chaetonotida,NA,Chaetonotidae,Bifidochaetus,NA
OTU1018,NA,NA,NA,NA,NA,NA,NA
OTU1019,NA,NA,NA,NA,NA,NA,NA
OTU1020,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,Clitopilus_prunulus
OTU1021,Metazoa,Gastrotricha,Chaetonotida,NA,Chaetonotidae,Chaetonotus,NA
OTU1022,NA,NA,NA,NA,NA,NA,NA
OTU1023,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,NA
OTU1024,Metazoa,Arthropoda,Collembola,NA,Katiannidae,Sminthurinus,NA
OTU1025,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,NA,NA
OTU1026,NA,NA,NA,NA,NA,NA,NA
OTU1028,Viridiplantae,Anthophyta,Monocotyledonae,Poales,Poaceae,Digitaria,Digitaria_ischaemum
OTU1029,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,NA
OTU103,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,NA
OTU1030,Fungi,Ascomycota,Sordariomycetes,Sordariales,Schizotheciaceae,Pseudoechria,Pseudoechria_longicollis
OTU1031,Fungi,Basidiomycota,Tremellomycetes,NA,NA,NA,NA
OTU1033,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,NA,NA
OTU1034,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Arnium,NA
